,song_id,song_name,artist,artist_uri,album,realese_date,popularity
113,6pi8MHD4mXo0ZsL3efLvqq,Fuegos de Octubre,Patricio Rey y sus Redonditos de Ricota,spotify:artist:6byQKddO1b34lXC2ZEjehQ,Oktubre,1986-01-10,49
114,1tW6LiJGXGlReuNP38wrKb,Ji Ji Ji,Patricio Rey y sus Redonditos de Ricota,spotify:artist:6byQKddO1b34lXC2ZEjehQ,Oktubre,1986-01-10,61
115,3Zf6FUeAVlk0Rk1VIgBHlb,Queso Ruso,Patricio Rey y sus Redonditos de Ricota,spotify:artist:6byQKddO1b34lXC2ZEjehQ,La Mosca y la Sopa,1991-09-27,52
116,3qSsdVel7dNcpW4khZejHa,Veneno,La Renga,spotify:artist:30fEdZPXgWfC4sNttcyB3C,Despedazado Por Mil Partes,1996-01-01,60
117,3ovjw5HZZv43SxTwApooCM,Wind Of Change,Scorpions,spotify:artist:27T030eWyCQRmDyuvr1kxY,Crazy World,1990-01-01,79
118,1QEEqeFIZktqIpPI4jSVSF,More Than a Feeling,Boston,spotify:artist:29kkCKKGXheHuoO829FxWK,Boston,1976,78
119,3TieIQTlipul7oxGldyX09,Big in Japan - Single Version; 2019 Remaster,Alphaville,spotify:artist:0xliTEbFfy5HQHvsTknTkX,Forever Young (Super Deluxe Edition; 2019 Remaster),1984,63
120,7EFMYtN7FFFNLzxOa9OgGC,Vencedores Vencidos,Patricio Rey y sus Redonditos de Ricota,spotify:artist:6byQKddO1b34lXC2ZEjehQ,Un Baión para el Ojo Idiota,1988-09-05,60
121,6Tp87toBJElT237kpPJHka,Tango - Por Una Cabeza,Carlos Gardel,spotify:artist:05Q9xndTxhXhD5trpmTtfU,The Silver Violin,2012-01-01,43
122,3hrzlb1ZKYRZ3DSxv8Ji4U,Si Vos Queres,Sudor Marika,spotify:artist:0RA00V1O1yXoBBJTV0S7xQ,Si Vos Queres,2019-08-31,23
123,44ZRUhwJopErgSsvJ8iH7I,Violeta,Alcides,spotify:artist:2ao7Jx5TiinWuCtz6Lig4g,20 Grandes Exitos,2007-09-01,48
124,1ot6jEe4w4hYnsOPjd3xKQ,I'm So Excited,The Pointer Sisters,spotify:artist:2kreKea2n96dXjcyAU9j5N,So Excited! (Expanded Edition),1982-02-01,71
125,5zWZ9iNevP0397xB3jWV2z,Brother Louie,Modern Talking,spotify:artist:79bxUQsBIXO8nVLB9fYKf7,Ready For Romance,1986,70
126,2X6vHcXDGy5BwlBhDjT71g,Al Jardín De La República,Mercedes Sosa,spotify:artist:2HvyR5FsU37QMqVzIbGwl7,Con Sabor A Mercedes Sosa,2010-01-01,43
127,5kErKPSPv8EgdZ04R3el1K,It's Raining Men - Single Version,The Weather Girls,spotify:artist:19xz1vcuKNjniGEftTOSSH,It's Raining Men,1982-04-30,58
128,62AkJ5664ea3eq1U35ism7,Hit the Road Jack,The Weather Girls,spotify:artist:19xz1vcuKNjniGEftTOSSH,Playlist: The Best of the Weather Girls,2016-08-19,47
129,38bDGWuyYdSdNfrFfbCiVS,We Didn't Start the Fire,Billy Joel,spotify:artist:6zFYqv1mOsgBRQbae3JJ9e,The Essential Billy Joel,2001-10-02,56
130,2xZfPZxInlDXDKc6NDts8Z,La foule,Édith Piaf,spotify:artist:1WPcVNert9hn7mHsPKDn7j,de l'accordeoniste a milord,1986,58
131,4FmiciU3ZmfgABlbCSXcWw,La vie en rose,Édith Piaf,spotify:artist:1WPcVNert9hn7mHsPKDn7j,de l'accordeoniste a milord,1986,60
132,194uD6fRM58ztn7Z1Mfyr2,Padam padam,Édith Piaf,spotify:artist:1WPcVNert9hn7mHsPKDn7j,Eternelle,1987-10-31,53
133,3dkIE8P7hvl3tHl9KSb6dA,"Non, je ne regrette rien",Édith Piaf,spotify:artist:1WPcVNert9hn7mHsPKDn7j,Eternelle,1987-10-31,65
134,63W11KVHDOpSlh3XMQ7qMg,Rock And Roll Part II,Gary Glitter,spotify:artist:61zv3hX7l838ZyhaDyAx8S,The Replacements (Music From The Motion Picture),2000-01-01,58
135,3Xls4cNOwy01dtrNXb1inG,White Room,Cream,spotify:artist:74oJ4qxwOZvX6oSsu1DGnw,Wheels Of Fire,1968-07-01,69
136,2QsOO5YLSwejpB3GB56uZ1,The Clansman - Live At Rock in Rio '01,Iron Maiden,spotify:artist:6mdiAmATAx73kdxrNrnlao,Rock in Rio (Live),2002-03-20,42
137,6lgTXW8rlTS4uGlku6SuWI,Johnny B. Goode,Marty McFly,spotify:artist:5T8mnUF3cgWsUZd2SWRlxB,Back To The Future,1985-01-01,37
138,4MHzXgBy7hexDe2Bto11hP,California Dreamin' - 2007 Digital Remaster,The Beach Boys,spotify:artist:3oDbviiivRWhXwIE8hxkVV,The Warmth Of The Sun,2007-01-01,68
139,1wrT33b6HuKlpk9ziscEUY,Baby Jane - 2008 Remaster,Rod Stewart,spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT,Body Wishes,1983,63
140,2ETAQQzVNh9oSkpn0Jb9on,La Bomba Loca,Gustavo Cordera,spotify:artist:3dOfwznaY7FEKpF8aw1q9i,Gustavo Cordera en la Caravana Mágica,2010-08-18,54
141,1VkRLxuW1Uiktg5gZS6enZ,Ciudad Mágica,Tan Bionica,spotify:artist:37MCoi4pcUf9EKsPXeuCqU,Destinologia,2013-01-01,0
142,4XX1pFUkQOZTYp6Hb6a6Ae,Venus,Bananarama,spotify:artist:3sc7iUG1Wwpwx7bHeZolgx,True Confessions (Collector's Edition),1986-01-01,66
143,2aEuA8PSqLa17Y4hKPj5rr,Cheri Cheri Lady,Modern Talking,spotify:artist:79bxUQsBIXO8nVLB9fYKf7,Let's Talk About Love,1985,70
144,1bNYIF1HZlWJe8ZKmTIFfT,"You're My Heart, You're My Soul '98",Modern Talking,spotify:artist:79bxUQsBIXO8nVLB9fYKf7,Back For Good,1998,60
145,2ahnofp2LbBWDXcJbMaSTu,"What Is Love - 7"" Mix",Haddaway,spotify:artist:0Suv0tRrNrUlRzAy8aXjma,What Is Love (Remixes),1993-03-22,70
146,3tjprNHiTDqxlaq86R5yk4,Wanna Be My Lover,Gliese,spotify:artist:7jndhVwt15TAfplhIp39rO,"80s 90s Music Dance Songs: Las Mejores Canciones, Éxitos Disco Y Música De Los 90 Y 80 Para Bailar",2014-03-20,27
147,2OzSJG7HmZYTiggNoGujZP,Se Me Ha Perdido Un Corazón,Gilda,spotify:artist:6Q6qTNC2rAegcR5QjzcRgE,Los Más Grandes Exitos,2004-01-05,56
148,5XcZRgJv3zMhTqCyESjQrF,Poison,Alice Cooper,spotify:artist:3EhbVgyfGd7HkpsagwL9GS,Trash,1989-07-25,73
149,2goLsvvODILDzeeiT4dAoR,Believe,Cher,spotify:artist:72OaDtakiy6yFqkt4TsiFt,Believe,1998,77
150,1Oxwi0l7RChRxsCghUG3lK,Que Tendrá Ese Petiso,Ricky Maravilla,spotify:artist:57zdSImRVdyfT1Ol0mmlWo,20 Grandes Exitos,2007-06-02,25
151,0hHTvWEYWhYueCwvEio3p2,¡Cuidado La Bomba!,Ricky Maravilla,spotify:artist:57zdSImRVdyfT1Ol0mmlWo,20 Grandes Exitos,2007-06-02,12
152,6Tw8PTRYKt5xnOmfHlIQTO,Quiero un Pueblo Que Baile,Ricky Maravilla,spotify:artist:57zdSImRVdyfT1Ol0mmlWo,"Garganta Con Arena, Ojalá Que No Puedas y Otros",2012-07-23,10
153,4bWdlExSeKAotB6uJwxFlf,Se Parece Más A Ti,Jambao,spotify:artist:37zUz0gjTaNCWTOymnuWGG,Separece A Ti,2007-01-01,62
154,3dNA2MGyfZU4rdUVwoWI3V,Te Arrepentirás,Jambao,spotify:artist:37zUz0gjTaNCWTOymnuWGG,Sonidero Soy,2000,0
155,2HXNn7MQBhecidoC4h6KgX,Isaac,Madonna,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,Confessions on a Dance Floor,2005-11-11,45
156,3clsCV1f1E9u1Fge9ntulk,Alejandro,Lady Gaga,spotify:artist:1HY2Jd0NmPuamShAr6KMms,The Fame Monster (International Deluxe),2009-11-18,58
157,3NBwVbWQgGaeitzznzWiyI,Alegria,Cirque du Soleil,spotify:artist:0iF2gedsSjoVHRUh5vXSdu,Alegria,1994,53
158,3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,The Marshall Mathers LP,2000-05-23,87
