,artist_uri,genres,popularity,followers
195,spotify:artist:5wsBGjgRsASMggXLPF7pYm,"['bubblegum dance', 'eurodance', 'europop', 'happy hardcore', 'hip house']",53,87551
196,spotify:artist:2DmYtFBKcxb3ajwWWgA576,"['latin pop', 'mexican pop', 'ranchera', 'rock en espanol']",68,2291286
197,spotify:artist:5Il8YjuVAWkWNH2xgjFMpF,"['epicore', 'scorecore', 'soundtrack', 'video game music']",57,165701
198,spotify:artist:03GruNQP8X25PCoWzdvIGZ,"['german soundtrack', 'orchestral soundtrack', 'soundtrack']",62,106411
199,spotify:artist:4fvx4LuypijTSOQOBNJzqQ,"['classify', 'pop violin']",28,2887
200,spotify:artist:6jtBO3EoN7DkREJimtepzS,[],5,178
201,spotify:artist:58lV9VcRSjABbAbfWS6skp,"['glam metal', 'rock']",78,11329509
202,spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT,"['mellow gold', 'soft rock']",72,3806475
203,spotify:artist:2MLiASzGQHVMyORIApRGsp,"['argentine reggae', 'argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional', 'ska argentino']",50,439136
204,spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock']",75,6109261
205,spotify:artist:26bcq2nyj5GB7uRr558iQg,"['album rock', 'hard rock', 'rock', 'soft rock']",68,903850
206,spotify:artist:6ABhpEk6lSChZFd268br7Q,[],11,615
207,spotify:artist:27T030eWyCQRmDyuvr1kxY,"['album rock', 'german hard rock', 'german metal', 'german rock', 'hard rock', 'metal', 'rock']",73,5851726
208,spotify:artist:27T030eWyCQRmDyuvr1kxY,"['album rock', 'german hard rock', 'german metal', 'german rock', 'hard rock', 'metal', 'rock']",73,5851726
209,spotify:artist:7qQJQ3YtcGlqaLg5tcypN2,"['adult standards', 'brill building pop', 'bubblegum pop', 'rock-and-roll', 'rockabilly']",56,282015
210,spotify:artist:6ABhpEk6lSChZFd268br7Q,[],11,615
211,spotify:artist:2QOIawHpSlOwXDvSqQ9YJR,"['baroque', 'classical', 'early music', 'italian baroque']",70,2048911
212,spotify:artist:6IYnSXO40Bh7Zdqhf6rQoj,"['classic canadian rock', 'new wave pop']",55,86781
213,spotify:artist:7xF6Psrf6yNOBkB9jpMRa0,[],47,12637
214,spotify:artist:4P70aqttdpJ9vuYFDmf7f6,"['cyberpunk', 'synthesizer']",59,524328
215,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,"['classic rock', 'glam rock', 'rock']",85,43254583
216,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,"['classic rock', 'glam rock', 'rock']",85,43254583
217,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,"['classic rock', 'glam rock', 'rock']",85,43254583
